0     (( i-- ))
10000000013.8 10000000000.0     source /Users/sam/.dotfiles/completions/bash_pip_completion
10000000013.8 10000000000.0     source /Users/sam/.dotfiles/completions/bash_django_completion
1.10000000014e+11 1e+11    command -v whereis
1.10000000014e+11 1e+11    pythons=' python'
10000000013.9 10000000000.0     source /Users/sam/.dotfiles/completions/bash_fab_completion
10000000013.9 10000000000.0     '[' -e /Users/sam/.ssh/config ']'
10000000014.0 10000000000.0     tput setaf 1
10000000014.0 10000000000.0     LESS_TERMCAP_mb=''
10000000014.1 10000000000.0     LESS_TERMCAP_md=''
10000000014.1 10000000000.0     LESS_TERMCAP_me=''
10000000014.1 10000000000.0     LESS_TERMCAP_so=''
10000000014.1 10000000000.0     LESS_TERMCAP_se=''
10000000014.2 10000000000.0     LESS_TERMCAP_us=''
10000000014.2 10000000000.0     LESS_TERMCAP_ue=''
10000000014.2 10000000000.0     LESS_TERMCAP_mr=''
10000000014.2 10000000000.0     LESS_TERMCAP_mh=
10000000014.3 10000000000.0     LESS_TERMCAP_ZN=
10000000014.3 10000000000.0     LESS_TERMCAP_ZV=
10000000014.3 10000000000.0     LESS_TERMCAP_ZO=
